year,gene,method,subtype,region,continent,mismatch
2015,H3N2 NA protein,current-system,H3N2,NY,North America,6.682170543
2016,H3N2 NA protein,current-system,H3N2,NY,North America,5.890909091
2017,H3N2 NA protein,current-system,H3N2,NY,North America,9.102272727
2018,H3N2 NA protein,current-system,H3N2,NY,North America,12.3592233
2019,H3N2 NA protein,current-system,H3N2,NY,North America,9.892307692
2003,H3N2 NA protein,current-system,H3N2,CA,North America,NA
2004,H3N2 NA protein,current-system,H3N2,CA,North America,11.57142857
2005,H3N2 NA protein,current-system,H3N2,CA,North America,6
2006,H3N2 NA protein,current-system,H3N2,CA,North America,2.5
2007,H3N2 NA protein,current-system,H3N2,CA,North America,7.444444444
2008,H3N2 NA protein,current-system,H3N2,CA,North America,11
2009,H3N2 NA protein,current-system,H3N2,CA,North America,5.164383562
2010,H3N2 NA protein,current-system,H3N2,CA,North America,6.5
2011,H3N2 NA protein,current-system,H3N2,CA,North America,4.3125
2012,H3N2 NA protein,current-system,H3N2,CA,North America,6.176470588
2013,H3N2 NA protein,current-system,H3N2,CA,North America,4.238095238
2014,H3N2 NA protein,current-system,H3N2,CA,North America,5.666666667
2015,H3N2 NA protein,current-system,H3N2,CA,North America,6.56
2016,H3N2 NA protein,current-system,H3N2,CA,North America,6.834710744
2017,H3N2 NA protein,current-system,H3N2,CA,North America,8.957446809
2018,H3N2 NA protein,current-system,H3N2,CA,North America,11.49230769
2019,H3N2 NA protein,current-system,H3N2,CA,North America,9.488372093
2003,H3N2 NA protein,current-system,H3N2,CAN,North America,NA
2004,H3N2 NA protein,current-system,H3N2,CAN,North America,NA
2005,H3N2 NA protein,current-system,H3N2,CAN,North America,10.5
2006,H3N2 NA protein,current-system,H3N2,CAN,North America,4
2007,H3N2 NA protein,current-system,H3N2,CAN,North America,8.636363636
2008,H3N2 NA protein,current-system,H3N2,CAN,North America,NA
2009,H3N2 NA protein,current-system,H3N2,CAN,North America,6
2010,H3N2 NA protein,current-system,H3N2,CAN,North America,6.714285714
2011,H3N2 NA protein,current-system,H3N2,CAN,North America,3.594594595
2012,H3N2 NA protein,current-system,H3N2,CAN,North America,7.5
2013,H3N2 NA protein,current-system,H3N2,CAN,North America,4.666666667
2014,H3N2 NA protein,current-system,H3N2,CAN,North America,6.916666667
2015,H3N2 NA protein,current-system,H3N2,CAN,North America,6.97029703
2016,H3N2 NA protein,current-system,H3N2,CAN,North America,7.241935484
2017,H3N2 NA protein,current-system,H3N2,CAN,North America,10
2018,H3N2 NA protein,current-system,H3N2,CAN,North America,12
2019,H3N2 NA protein,current-system,H3N2,CAN,North America,8.301587302
2003,H3N2 NA protein,current-system,H3N2,UK,Europe,NA
2004,H3N2 NA protein,current-system,H3N2,UK,Europe,9.984126984
2005,H3N2 NA protein,current-system,H3N2,UK,Europe,NA
2006,H3N2 NA protein,current-system,H3N2,UK,Europe,NA
2007,H3N2 NA protein,current-system,H3N2,UK,Europe,NA
2008,H3N2 NA protein,current-system,H3N2,UK,Europe,NA
2009,H3N2 NA protein,current-system,H3N2,UK,Europe,NA
2010,H3N2 NA protein,current-system,H3N2,UK,Europe,7
2011,H3N2 NA protein,current-system,H3N2,UK,Europe,4.75
2012,H3N2 NA protein,current-system,H3N2,UK,Europe,6.962962963
2013,H3N2 NA protein,current-system,H3N2,UK,Europe,2.913043478
2014,H3N2 NA protein,current-system,H3N2,UK,Europe,6
2015,H3N2 NA protein,current-system,H3N2,UK,Europe,6.926395939
2016,H3N2 NA protein,current-system,H3N2,UK,Europe,7.958333333
2017,H3N2 NA protein,current-system,H3N2,UK,Europe,10.3315508
2018,H3N2 NA protein,current-system,H3N2,UK,Europe,11.7511811
2019,H3N2 NA protein,current-system,H3N2,UK,Europe,8.391752577
2003,H3N2 NA protein,current-system,H3N2,GER,Europe,NA
2004,H3N2 NA protein,current-system,H3N2,GER,Europe,NA
2005,H3N2 NA protein,current-system,H3N2,GER,Europe,NA
2006,H3N2 NA protein,current-system,H3N2,GER,Europe,NA
2007,H3N2 NA protein,current-system,H3N2,GER,Europe,NA
2008,H3N2 NA protein,current-system,H3N2,GER,Europe,10
2009,H3N2 NA protein,current-system,H3N2,GER,Europe,NA
2010,H3N2 NA protein,current-system,H3N2,GER,Europe,NA
2011,H3N2 NA protein,current-system,H3N2,GER,Europe,4.857142857
2012,H3N2 NA protein,current-system,H3N2,GER,Europe,6.823529412
2013,H3N2 NA protein,current-system,H3N2,GER,Europe,3.545454545
2014,H3N2 NA protein,current-system,H3N2,GER,Europe,5.642857143
2015,H3N2 NA protein,current-system,H3N2,GER,Europe,5.944444444
2016,H3N2 NA protein,current-system,H3N2,GER,Europe,6.2
2017,H3N2 NA protein,current-system,H3N2,GER,Europe,9.796296296
2018,H3N2 NA protein,current-system,H3N2,GER,Europe,12.13207547
2019,H3N2 NA protein,current-system,H3N2,GER,Europe,8.363128492
2003,H3N2 NA protein,current-system,H3N2,FR,Europe,NA
2004,H3N2 NA protein,current-system,H3N2,FR,Europe,NA
2005,H3N2 NA protein,current-system,H3N2,FR,Europe,NA
2006,H3N2 NA protein,current-system,H3N2,FR,Europe,NA
2007,H3N2 NA protein,current-system,H3N2,FR,Europe,5.75
2008,H3N2 NA protein,current-system,H3N2,FR,Europe,9.5
2009,H3N2 NA protein,current-system,H3N2,FR,Europe,4.473684211
2010,H3N2 NA protein,current-system,H3N2,FR,Europe,6.333333333
2011,H3N2 NA protein,current-system,H3N2,FR,Europe,4.666666667
2012,H3N2 NA protein,current-system,H3N2,FR,Europe,6.911764706
2013,H3N2 NA protein,current-system,H3N2,FR,Europe,2.904761905
2014,H3N2 NA protein,current-system,H3N2,FR,Europe,5.3
2015,H3N2 NA protein,current-system,H3N2,FR,Europe,6.304347826
2016,H3N2 NA protein,current-system,H3N2,FR,Europe,8.054054054
2017,H3N2 NA protein,current-system,H3N2,FR,Europe,10.29612756
2018,H3N2 NA protein,current-system,H3N2,FR,Europe,12.64957265
2019,H3N2 NA protein,current-system,H3N2,FR,Europe,8.328571429
2003,H3N2 NA protein,current-system,H3N2,HK,Asia,NA
2004,H3N2 NA protein,current-system,H3N2,HK,Asia,12.11428571
2005,H3N2 NA protein,current-system,H3N2,HK,Asia,3.868421053
2006,H3N2 NA protein,current-system,H3N2,HK,Asia,NA
2007,H3N2 NA protein,current-system,H3N2,HK,Asia,11
2008,H3N2 NA protein,current-system,H3N2,HK,Asia,10
2009,H3N2 NA protein,current-system,H3N2,HK,Asia,4.576271186
2010,H3N2 NA protein,current-system,H3N2,HK,Asia,6.636363636
2011,H3N2 NA protein,current-system,H3N2,HK,Asia,6.5
2012,H3N2 NA protein,current-system,H3N2,HK,Asia,7.166666667
2013,H3N2 NA protein,current-system,H3N2,HK,Asia,3.9
2014,H3N2 NA protein,current-system,H3N2,HK,Asia,5.621621622
2015,H3N2 NA protein,current-system,H3N2,HK,Asia,7.352941176
2016,H3N2 NA protein,current-system,H3N2,HK,Asia,6.625
2017,H3N2 NA protein,current-system,H3N2,HK,Asia,11.06542056
2018,H3N2 NA protein,current-system,H3N2,HK,Asia,12.03846154
2019,H3N2 NA protein,current-system,H3N2,HK,Asia,7.021276596
2003,H3N2 NA protein,current-system,H3N2,SCP,Asia,10.4137931
2004,H3N2 NA protein,current-system,H3N2,SCP,Asia,11.73529412
2005,H3N2 NA protein,current-system,H3N2,SCP,Asia,4.393939394
2006,H3N2 NA protein,current-system,H3N2,SCP,Asia,14
2007,H3N2 NA protein,current-system,H3N2,SCP,Asia,9.272727273
2008,H3N2 NA protein,current-system,H3N2,SCP,Asia,10.89473684
2009,H3N2 NA protein,current-system,H3N2,SCP,Asia,4.776470588
2010,H3N2 NA protein,current-system,H3N2,SCP,Asia,9.222222222
2011,H3N2 NA protein,current-system,H3N2,SCP,Asia,4.695652174
2012,H3N2 NA protein,current-system,H3N2,SCP,Asia,6.8
2013,H3N2 NA protein,current-system,H3N2,SCP,Asia,4.3
2014,H3N2 NA protein,current-system,H3N2,SCP,Asia,6.021276596
2015,H3N2 NA protein,current-system,H3N2,SCP,Asia,6.268518519
2016,H3N2 NA protein,current-system,H3N2,SCP,Asia,6.367346939
2017,H3N2 NA protein,current-system,H3N2,SCP,Asia,9.55987055
2018,H3N2 NA protein,current-system,H3N2,SCP,Asia,11.90588235
2019,H3N2 NA protein,current-system,H3N2,SCP,Asia,7.582750583
2003,H3N2 NA protein,current-system,H3N2,JP,Asia,NA
2004,H3N2 NA protein,current-system,H3N2,JP,Asia,12
2005,H3N2 NA protein,current-system,H3N2,JP,Asia,8
2006,H3N2 NA protein,current-system,H3N2,JP,Asia,2.4
2007,H3N2 NA protein,current-system,H3N2,JP,Asia,7.8
2008,H3N2 NA protein,current-system,H3N2,JP,Asia,11.75
2009,H3N2 NA protein,current-system,H3N2,JP,Asia,4.833333333
2010,H3N2 NA protein,current-system,H3N2,JP,Asia,11
2011,H3N2 NA protein,current-system,H3N2,JP,Asia,6.833333333
2012,H3N2 NA protein,current-system,H3N2,JP,Asia,7.384615385
2013,H3N2 NA protein,current-system,H3N2,JP,Asia,4.350515464
2014,H3N2 NA protein,current-system,H3N2,JP,Asia,6.224489796
2015,H3N2 NA protein,current-system,H3N2,JP,Asia,5.986338798
2016,H3N2 NA protein,current-system,H3N2,JP,Asia,7.828877005
2017,H3N2 NA protein,current-system,H3N2,JP,Asia,10.58595642
2018,H3N2 NA protein,current-system,H3N2,JP,Asia,12.18217054
2019,H3N2 NA protein,current-system,H3N2,JP,Asia,7.539548023
2003,H3N2 NA protein,current-system,H3N2,SG,Asia,11.66666667
2004,H3N2 NA protein,current-system,H3N2,SG,Asia,11.88888889
2005,H3N2 NA protein,current-system,H3N2,SG,Asia,NA
2006,H3N2 NA protein,current-system,H3N2,SG,Asia,NA
2007,H3N2 NA protein,current-system,H3N2,SG,Asia,8.5
2008,H3N2 NA protein,current-system,H3N2,SG,Asia,11
2009,H3N2 NA protein,current-system,H3N2,SG,Asia,3.464285714
2010,H3N2 NA protein,current-system,H3N2,SG,Asia,6.75
2011,H3N2 NA protein,current-system,H3N2,SG,Asia,5.805369128
2012,H3N2 NA protein,current-system,H3N2,SG,Asia,6.786666667
2013,H3N2 NA protein,current-system,H3N2,SG,Asia,4.703703704
2014,H3N2 NA protein,current-system,H3N2,SG,Asia,5.216216216
2015,H3N2 NA protein,current-system,H3N2,SG,Asia,6.84375
2016,H3N2 NA protein,current-system,H3N2,SG,Asia,8.156462585
2017,H3N2 NA protein,current-system,H3N2,SG,Asia,11.22222222
2018,H3N2 NA protein,current-system,H3N2,SG,Asia,12.46017699
2019,H3N2 NA protein,current-system,H3N2,SG,Asia,8.148648649
2003,H3N2 NA protein,beth-1 final,H3N2,NY,North America,9.444444444
2004,H3N2 NA protein,beth-1 final,H3N2,NY,North America,15.40909091
2005,H3N2 NA protein,beth-1 final,H3N2,NY,North America,2.962962963
2006,H3N2 NA protein,beth-1 final,H3N2,NY,North America,2.867924528
2007,H3N2 NA protein,beth-1 final,H3N2,NY,North America,9.1
2008,H3N2 NA protein,beth-1 final,H3N2,NY,North America,15.2
2009,H3N2 NA protein,beth-1 final,H3N2,NY,North America,1.103896104
2010,H3N2 NA protein,beth-1 final,H3N2,NY,North America,3.166666667
2011,H3N2 NA protein,beth-1 final,H3N2,NY,North America,7.5
2012,H3N2 NA protein,beth-1 final,H3N2,NY,North America,4.25
2013,H3N2 NA protein,beth-1 final,H3N2,NY,North America,2.14516129
2014,H3N2 NA protein,beth-1 final,H3N2,NY,North America,3.615384615
2015,H3N2 NA protein,beth-1 final,H3N2,NY,North America,4.697674419
2016,H3N2 NA protein,beth-1 final,H3N2,NY,North America,5.890909091
2017,H3N2 NA protein,beth-1 final,H3N2,NY,North America,4.284090909
2018,H3N2 NA protein,beth-1 final,H3N2,NY,North America,5.165048544
2019,H3N2 NA protein,beth-1 final,H3N2,NY,North America,12.1
2003,H3N2 NA protein,beth-1 final,H3N2,CA,North America,NA
2004,H3N2 NA protein,beth-1 final,H3N2,CA,North America,7.142857143
2005,H3N2 NA protein,beth-1 final,H3N2,CA,North America,3
2006,H3N2 NA protein,beth-1 final,H3N2,CA,North America,1.75
2007,H3N2 NA protein,beth-1 final,H3N2,CA,North America,8
2008,H3N2 NA protein,beth-1 final,H3N2,CA,North America,14.8
2009,H3N2 NA protein,beth-1 final,H3N2,CA,North America,2.246575342
2010,H3N2 NA protein,beth-1 final,H3N2,CA,North America,3.5
2011,H3N2 NA protein,beth-1 final,H3N2,CA,North America,4.3125
2012,H3N2 NA protein,beth-1 final,H3N2,CA,North America,3.823529412
2013,H3N2 NA protein,beth-1 final,H3N2,CA,North America,3.095238095
2014,H3N2 NA protein,beth-1 final,H3N2,CA,North America,3.814814815
2015,H3N2 NA protein,beth-1 final,H3N2,CA,North America,5.04
2016,H3N2 NA protein,beth-1 final,H3N2,CA,North America,6.834710744
2017,H3N2 NA protein,beth-1 final,H3N2,CA,North America,3.042553191
2018,H3N2 NA protein,beth-1 final,H3N2,CA,North America,4.584615385
2019,H3N2 NA protein,beth-1 final,H3N2,CA,North America,11.3255814
2003,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,NA
2004,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,NA
2005,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,8
2006,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,5
2007,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,7
2008,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,NA
2009,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,3
2010,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,3.714285714
2011,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,3.594594595
2012,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,5.5
2013,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,3.666666667
2014,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,4.916666667
2015,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,5.108910891
2016,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,7.241935484
2017,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,7.542857143
2018,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,5.06779661
2019,H3N2 NA protein,beth-1 final,H3N2,CAN,North America,8.507936508
2003,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,NA
2004,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,16.71428571
2005,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,NA
2006,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,NA
2007,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,NA
2008,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,NA
2009,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,NA
2010,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,4
2011,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,4.75
2012,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,4.962962963
2013,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,1.913043478
2014,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,4.095238095
2015,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,5.086294416
2016,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,7.958333333
2017,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,3.051693405
2018,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,4.337007874
2019,H3N2 NA protein,beth-1 final,H3N2,UK,Europe,8.347079038
2003,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,NA
2004,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,NA
2005,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,NA
2006,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,NA
2007,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,NA
2008,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,15
2009,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,NA
2010,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,NA
2011,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,4.857142857
2012,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,4.588235294
2013,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,2.545454545
2014,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,3.642857143
2015,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,4.925925926
2016,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,6.2
2017,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,2.481481481
2018,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,5.037735849
2019,H3N2 NA protein,beth-1 final,H3N2,GER,Europe,8.932960894
2003,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,NA
2004,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,NA
2005,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,NA
2006,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,NA
2007,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,2.75
2008,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,14.5
2009,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,1.789473684
2010,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,3.333333333
2011,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,4.666666667
2012,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,4.911764706
2013,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,1.952380952
2014,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,3.3
2015,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,5.347826087
2016,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,8.054054054
2017,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,2.744874715
2018,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,5.017094017
2019,H3N2 NA protein,beth-1 final,H3N2,FR,Europe,8.954761905
2003,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,NA
2004,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,6.428571429
2005,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,2.552631579
2006,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,NA
2007,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,12
2008,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,13
2009,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,1.576271186
2010,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,3.681818182
2011,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,6.5
2012,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,5.166666667
2013,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,2.9
2014,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,3.621621622
2015,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,5.470588235
2016,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,6.625
2017,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,3.841121495
2018,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,4.019230769
2019,H3N2 NA protein,beth-1 final,H3N2,HK,Asia,4.893617021
2003,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,1.413793103
2004,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,6.970588235
2005,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,2.909090909
2006,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,13.5
2007,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,11
2008,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,14.94736842
2009,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,1.894117647
2010,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,6.305555556
2011,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,4.695652174
2012,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,5.4
2013,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,3.533333333
2014,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,4.106382979
2015,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,4.87962963
2016,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,6.367346939
2017,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,3.754045307
2018,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,4.976470588
2019,H3N2 NA protein,beth-1 final,H3N2,SCP,Asia,5.778554779
2003,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,NA
2004,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,3
2005,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,5
2006,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,1.4
2007,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,12.8
2008,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,15.75
2009,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,2.5
2010,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,8
2011,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,6.833333333
2012,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,5.241758242
2013,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,3.288659794
2014,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,4.255102041
2015,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,5.366120219
2016,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,7.828877005
2017,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,3.428571429
2018,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,4.678294574
2019,H3N2 NA protein,beth-1 final,H3N2,JP,Asia,5.935028249
2003,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,2.666666667
2004,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,2.888888889
2005,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,NA
2006,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,NA
2007,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,9.5
2008,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,15
2009,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,0.464285714
2010,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,3.75
2011,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,5.805369128
2012,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,4.786666667
2013,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,3.62962963
2014,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,3.243243243
2015,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,5.03125
2016,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,8.156462585
2017,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,3.525925926
2018,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,4.212389381
2019,H3N2 NA protein,beth-1 final,H3N2,SG,Asia,6.831081081
2003,H3N2 NA protein,Neher LBI,H3N2,NY,North America,8.444444444
2004,H3N2 NA protein,Neher LBI,H3N2,NY,North America,4.545454545
2005,H3N2 NA protein,Neher LBI,H3N2,NY,North America,16.27160494
2006,H3N2 NA protein,Neher LBI,H3N2,NY,North America,3.377358491
2007,H3N2 NA protein,Neher LBI,H3N2,NY,North America,7.166666667
2008,H3N2 NA protein,Neher LBI,H3N2,NY,North America,12.2
2009,H3N2 NA protein,Neher LBI,H3N2,NY,North America,5.077922078
2010,H3N2 NA protein,Neher LBI,H3N2,NY,North America,5.833333333
2011,H3N2 NA protein,Neher LBI,H3N2,NY,North America,5.5625
2012,H3N2 NA protein,Neher LBI,H3N2,NY,North America,3.25
2013,H3N2 NA protein,Neher LBI,H3N2,NY,North America,6.822580645
2014,H3N2 NA protein,Neher LBI,H3N2,NY,North America,3.615384615
2015,H3N2 NA protein,Neher LBI,H3N2,NY,North America,3.697674419
2016,H3N2 NA protein,Neher LBI,H3N2,NY,North America,5.763636364
2017,H3N2 NA protein,Neher LBI,H3N2,NY,North America,7.352272727
2018,H3N2 NA protein,Neher LBI,H3N2,NY,North America,4.368932039
2019,H3N2 NA protein,Neher LBI,H3N2,NY,North America,9.084615385
2003,H3N2 NA protein,Neher LBI,H3N2,CA,North America,NA
2004,H3N2 NA protein,Neher LBI,H3N2,CA,North America,12
2005,H3N2 NA protein,Neher LBI,H3N2,CA,North America,15.66666667
2006,H3N2 NA protein,Neher LBI,H3N2,CA,North America,2.5
2007,H3N2 NA protein,Neher LBI,H3N2,CA,North America,6.444444444
2008,H3N2 NA protein,Neher LBI,H3N2,CA,North America,12.6
2009,H3N2 NA protein,Neher LBI,H3N2,CA,North America,6.232876712
2010,H3N2 NA protein,Neher LBI,H3N2,CA,North America,6
2011,H3N2 NA protein,Neher LBI,H3N2,CA,North America,2.5
2012,H3N2 NA protein,Neher LBI,H3N2,CA,North America,3.176470588
2013,H3N2 NA protein,Neher LBI,H3N2,CA,North America,7.19047619
2014,H3N2 NA protein,Neher LBI,H3N2,CA,North America,3.814814815
2015,H3N2 NA protein,Neher LBI,H3N2,CA,North America,4.04
2016,H3N2 NA protein,Neher LBI,H3N2,CA,North America,3.785123967
2017,H3N2 NA protein,Neher LBI,H3N2,CA,North America,6.609929078
2018,H3N2 NA protein,Neher LBI,H3N2,CA,North America,3.902564103
2019,H3N2 NA protein,Neher LBI,H3N2,CA,North America,8.689922481
2003,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,NA
2004,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,NA
2005,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,15
2006,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,4
2007,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,7.636363636
2008,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,NA
2009,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,6.5
2010,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,6
2011,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,1.864864865
2012,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,4.5
2013,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,8.666666667
2014,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,4.916666667
2015,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,4.108910891
2016,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,2.967741935
2017,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,8.971428571
2018,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,4.576271186
2019,H3N2 NA protein,Neher LBI,H3N2,CAN,North America,7.492063492
2003,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,NA
2004,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,3.53968254
2005,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,NA
2006,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,NA
2007,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,NA
2008,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,NA
2009,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,NA
2010,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,6
2011,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,4
2012,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,3.962962963
2013,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,6.826086957
2014,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,4.095238095
2015,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,4.086294416
2016,H3N2 NA protein,Neher LBI,H3N2,UK,Europe,3.541666667
